a1,a2,a3,a4,a5,a6,a7,a8,a9,,6.00E-05,,7.00E-05,,8.00E-05,,9.00E-05
1,0,2,5,0,1,1,3,2,,1,,1,,3,,2
0.5,1,3,3,0,1,2,2,2,,1,,3,,1,,2
1.333333333,1.333333333,2.666666667,2.666666667,1.666666667,1.333333333,2,3.333333333,3.333333333,,2,,2,,6,,6
1.5,2.25,2.5,2.5,2.25,1.25,1.75,3.5,2.75,,1,,1,,4,,1
1.6,2.8,2.8,2.4,2.8,1.4,1.8,3.2,3,,2,,2,,2,,4
1.833333333,2.5,3,2.5,2.5,1.5,2,2.666666667,3.166666667,,2,,3,,0,,4
1.857142857,2.428571429,2.857142857,2.857142857,2.285714286,1.285714286,2.142857143,2.571428571,3.428571429,,0,,3,,2,,5
2.125,2.625,2.625,2.875,2.5,1.25,2.5,2.875,3.375,,1,,5,,5,,3
2.444444444,2.666666667,2.333333333,3.111111111,2.444444444,1.333333333,2.333333333,2.888888889,3.333333333,,2,,1,,3,,3
2.6,2.6,2.2,2.9,2.3,1.5,2.3,2.9,3.2,,3,,2,,3,,2
2.545454545,2.545454545,2.090909091,2.818181818,2.363636364,1.636363636,2.272727273,2.818181818,3.090909091,,3,,2,,2,,2
2.5,2.5,2,2.916666667,2.25,1.5,2.333333333,2.75,3,,0,,3,,2,,2
2.384615385,2.384615385,1.923076923,2.846153846,2.230769231,1.538461538,2.538461538,3.230769231,3.076923077,,2,,5,,9,,4
2.5,2.357142857,1.857142857,2.785714286,2.285714286,1.642857143,2.642857143,3.071428571,3.071428571,,3,,4,,1,,3
2.333333333,2.666666667,2.066666667,2.6,2.266666667,1.8,2.533333333,3.066666667,3.2,,4,,1,,3,,5
2.3125,2.6875,2,2.4375,2.1875,1.875,2.375,3.0625,3.1875,,3,,0,,3,,3
2.235294118,2.588235294,2.176470588,2.588235294,2.352941176,2,2.411764706,3.058823529,3.058823529,,4,,3,,3,,1
2.111111111,2.5,2.166666667,2.444444444,2.444444444,1.944444444,2.555555556,2.944444444,3.111111111,,1,,5,,1,,4
2.105263158,2.578947368,2.105263158,2.526315789,2.473684211,1.894736842,2.473684211,2.947368421,3.105263158,,1,,1,,3,,3
2.05,2.5,2.25,2.55,2.4,2,2.55,2.8,3.2,,4,,4,,0,,5
2,2.619047619,2.19047619,2.523809524,2.428571429,1.952380952,2.428571429,2.761904762,3.095238095,,1,,0,,2,,1
2.045454545,2.590909091,2.090909091,2.545454545,2.545454545,2,2.5,2.681818182,3,,3,,4,,1,,1
2.130434783,2.565217391,2.130434783,2.52173913,2.47826087,2.086956522,2.608695652,2.652173913,2.913043478,,4,,5,,2,,1
2.166666667,2.541666667,2.083333333,2.541666667,2.458333333,2.125,2.541666667,2.625,3,,3,,1,,2,,5
2.08,2.48,2.16,2.52,2.48,2.16,2.52,2.52,3.04,,3,,2,,0,,4
2.076923077,2.461538462,2.230769231,2.5,2.423076923,2.153846154,2.461538462,2.538461538,3,,2,,1,,3,,2
2.074074074,2.407407407,2.296296296,2.481481481,2.407407407,2.222222222,2.481481481,2.592592593,3.037037037,,4,,3,,4,,4
2.071428571,2.392857143,2.25,2.535714286,2.321428571,2.214285714,2.392857143,2.607142857,3.035714286,,2,,0,,3,,3
2.034482759,2.448275862,2.172413793,2.517241379,2.275862069,2.344827586,2.448275862,2.586206897,3.034482759,,6,,4,,2,,3
2.166666667,2.433333333,2.166666667,2.433333333,2.266666667,2.366666667,2.5,2.6,2.966666667,,3,,4,,3,,1
2.161290323,2.451612903,2.225806452,2.451612903,2.225806452,2.387096774,2.451612903,2.64516129,2.903225806,,3,,1,,4,,1
2.21875,2.46875,2.21875,2.40625,2.21875,2.34375,2.5625,2.625,2.84375,,1,,6,,2,,1
2.151515152,2.484848485,2.181818182,2.393939394,2.181818182,2.363636364,2.545454545,2.575757576,2.818181818,,3,,2,,1,,2
2.205882353,2.470588235,2.205882353,2.411764706,2.147058824,2.323529412,2.529411765,2.588235294,2.823529412,,1,,2,,3,,3
2.171428571,2.428571429,2.171428571,2.371428571,2.114285714,2.314285714,2.457142857,2.514285714,2.771428571,,2,,0,,0,,1
2.166666667,2.444444444,2.222222222,2.416666667,2.138888889,2.305555556,2.444444444,2.5,2.75,,2,,2,,2,,2
2.162162162,2.486486486,2.243243243,2.405405405,2.162162162,2.27027027,2.432432432,2.486486486,2.810810811,,1,,2,,2,,5
2.210526316,2.473684211,2.263157895,2.368421053,2.131578947,2.263157895,2.421052632,2.447368421,2.736842105,,2,,2,,1,,0
2.230769231,2.512820513,2.205128205,2.358974359,2.153846154,2.282051282,2.435897436,2.538461538,2.717948718,,3,,3,,6,,2
2.3,2.575,2.2,2.4,2.15,2.25,2.4,2.5,2.725,,1,,1,,1,,3
2.390243902,2.536585366,2.219512195,2.414634146,2.195121951,2.243902439,2.365853659,2.512195122,2.707317073,,2,,1,,3,,2
2.380952381,2.523809524,2.238095238,2.428571429,2.214285714,2.261904762,2.404761905,2.5,2.69047619,,3,,4,,2,,2
2.395348837,2.465116279,2.186046512,2.395348837,2.255813953,2.348837209,2.372093023,2.534883721,2.674418605,,6,,1,,4,,2
2.409090909,2.5,2.181818182,2.409090909,2.25,2.340909091,2.340909091,2.568181818,2.681818182,,2,,1,,4,,3
2.355555556,2.511111111,2.2,2.4,2.266666667,2.377777778,2.355555556,2.511111111,2.644444444,,4,,3,,0,,1
2.413043478,2.565217391,2.173913043,2.413043478,2.282608696,2.413043478,2.347826087,2.5,2.608695652,,4,,2,,2,,1
2.404255319,2.531914894,2.14893617,2.404255319,2.340425532,2.382978723,2.29787234,2.468085106,2.638297872,,1,,0,,1,,4
2.416666667,2.541666667,2.166666667,2.395833333,2.333333333,2.375,2.270833333,2.5,2.645833333,,2,,1,,4,,3
2.448979592,2.571428571,2.12244898,2.387755102,2.306122449,2.387755102,2.244897959,2.530612245,2.653061224,,3,,1,,4,,3
2.42,2.62,2.18,2.38,2.36,2.4,2.24,2.54,2.68,,3,,2,,3,,4