,30,90,180,360
0,2,2,6,9
1,1,0,5,9
2,1,2,7,13
3,1,4,5,4
4,1,4,3,15
5,1,3,3,12
6,0,3,0,10
7,1,0,5,14
8,1,2,3,6
9,0,3,5,3
10,1,2,3,15
11,1,1,2,8
12,3,3,4,14
13,0,2,4,11
14,2,3,7,12
15,0,5,9,10
16,1,2,3,10
17,0,3,2,11
18,0,4,4,10
19,2,7,5,22
20,1,1,5,8
21,3,5,10,7
22,0,1,3,7
23,1,2,7,7
24,1,4,6,17
25,4,2,4,7
26,2,5,4,8
27,0,2,4,4
28,2,3,6,4
29,0,5,3,6
30,0,2,4,10
31,0,1,3,8
32,1,4,5,8
33,1,4,3,7
34,1,4,4,16
35,1,4,9,6
36,1,3,5,10
37,0,3,7,8
38,2,5,2,6
39,0,4,11,13
40,2,2,4,11
41,1,2,7,10
42,0,1,9,12
43,1,3,7,19
44,1,5,7,10
45,1,3,4,15
46,1,3,1,6
47,1,6,8,11
48,1,1,6,12
49,1,0,3,12
50,0,6,2,10
51,1,3,3,11
52,0,8,4,9
53,1,5,6,9
54,0,2,4,13
55,0,0,12,10
56,2,2,7,7
57,1,5,4,7
58,0,6,9,10
59,2,1,5,15
60,2,2,2,16
61,1,3,7,7
62,2,3,4,12
63,0,1,3,11
64,3,3,3,10
65,0,2,5,10
66,0,2,5,10
67,1,0,2,13
68,1,1,3,9
69,2,2,7,13
70,1,2,7,12
71,0,6,5,14
72,1,8,5,8
73,3,0,6,9
74,1,1,7,9
75,0,6,4,13
76,1,3,8,4
77,1,4,7,15
78,2,3,3,16
79,0,3,3,10
80,0,3,5,4
81,1,2,5,10
82,1,0,5,8
83,0,3,12,6
84,0,7,7,13
85,1,0,4,12
86,0,3,7,11
87,1,1,2,6
88,0,2,6,5
89,0,1,6,14
90,0,1,7,13
91,0,3,5,9
92,0,4,3,11
93,1,0,5,11
94,0,5,2,17
95,1,2,3,12
96,3,1,10,7
97,1,1,5,6
98,0,2,6,10
99,2,1,4,11
100,1,1,4,5
101,0,5,2,13
102,0,1,7,10
103,1,3,6,16
104,1,1,9,14
105,0,3,6,8
106,2,1,6,9
107,1,3,5,12
108,1,2,6,8
109,1,1,5,12
110,1,3,7,7
111,0,1,6,17
112,1,4,6,10
113,1,5,6,13
114,1,5,7,5
115,1,2,4,13
116,0,2,5,15
117,2,2,3,12
118,0,2,2,9
119,3,2,7,9
120,1,1,4,7
121,3,4,2,9
122,1,1,4,12
123,0,2,8,13
124,1,0,3,8
125,0,3,5,8
126,0,1,3,7
127,1,1,3,11
128,1,4,3,7
129,1,2,4,10
130,1,2,6,13
131,0,6,5,10
132,0,6,5,10
133,0,3,4,14
134,0,3,4,9
135,2,4,6,7
136,2,4,4,11
137,0,1,5,12
138,1,4,5,9
139,2,2,3,15
140,0,2,7,9
141,1,5,8,7
142,1,2,5,9
143,3,1,5,10
144,0,3,5,10
145,1,5,4,12
146,1,5,6,10
147,3,3,7,8
148,0,1,7,7
149,1,3,6,8
150,0,3,3,11
151,2,2,8,16
152,1,2,8,4
153,0,4,2,13
154,0,3,7,8
155,2,1,3,10
156,2,2,6,7
157,4,2,2,8
158,1,5,7,8
159,2,3,4,8
160,0,4,5,13
161,1,4,7,9
162,2,2,10,7
163,1,0,6,6
164,1,3,6,13
165,0,1,9,11
166,3,4,9,11
167,0,1,4,11
168,2,3,3,13
169,1,1,8,7
170,1,1,0,14
171,0,4,4,14
172,1,5,4,11
173,0,3,2,5
174,1,4,5,6
175,0,3,3,8
176,0,1,4,15
177,0,4,4,11
178,0,8,4,9
179,0,4,7,17
180,0,3,4,12
181,0,2,5,10
182,2,5,3,9
183,1,4,3,14
184,0,2,4,15
185,1,3,5,11
186,0,4,7,9
187,0,1,8,13
188,1,3,6,8
189,0,1,10,11
190,1,8,5,8
191,1,2,5,15
192,0,2,9,12
193,0,5,3,8
194,0,2,3,13
195,3,1,7,12
196,1,3,11,7
197,2,3,6,13
198,0,6,3,8
199,0,5,3,13
200,1,3,3,10
201,1,2,1,6
202,1,1,5,9
203,2,2,6,11
204,2,0,8,11
205,3,5,8,13
206,0,2,3,8
207,2,5,6,15
208,1,2,6,12
209,1,1,4,4
210,4,4,4,6
211,2,3,5,11
212,0,2,6,5
213,0,2,4,13
214,1,4,5,12
215,1,3,4,11
216,1,4,6,6
217,0,2,4,9
218,1,6,5,10
219,1,2,5,10
220,1,2,1,11
221,1,8,3,14
222,2,3,2,5
223,1,1,9,10
224,0,3,9,13
225,0,2,9,8
226,1,3,3,10
227,1,1,3,7
228,2,0,6,8
229,1,1,4,8
230,2,3,7,8
231,0,2,4,10
232,1,1,7,9
233,2,2,4,5
234,0,4,2,14
235,0,0,5,8
236,2,1,7,8
237,1,0,7,12
238,1,1,7,10
239,0,2,3,12
240,0,3,0,6
241,1,2,2,15
242,1,3,2,18
243,1,6,5,9
244,3,3,5,12
245,0,3,6,10
246,1,1,4,7
247,1,1,4,10
248,1,3,1,7
249,0,2,6,17
250,1,3,6,11
251,2,1,2,9
252,0,1,4,14
253,1,2,3,6
254,2,2,6,14
255,1,2,5,6
256,2,2,4,10
257,1,1,5,7
258,0,6,4,8
259,1,3,2,8
260,1,4,7,13
261,0,1,2,10
262,0,5,6,8
263,0,2,9,8
264,2,4,2,12
265,1,1,10,13
266,0,5,7,6
267,0,9,3,9
268,3,1,7,18
269,1,3,7,6
270,1,2,2,13
271,1,4,2,12
272,2,0,5,8
273,0,2,5,6
274,1,2,5,14
275,0,7,5,7
276,2,3,4,18
277,2,4,6,10
278,1,3,4,11
279,2,2,3,8
280,0,2,13,10
281,2,1,5,13
282,1,2,3,12
283,4,2,5,8
284,0,2,2,12
285,1,3,6,10
286,0,4,4,7
287,0,1,8,9
288,0,6,7,6
289,0,7,6,11
290,0,5,3,15
291,2,1,4,12
292,1,3,3,10
293,1,1,5,7
294,2,4,2,9
295,1,3,6,9
296,1,1,6,12
297,1,1,3,13
298,1,2,5,21
299,0,3,6,18
300,3,3,3,9
301,0,4,3,9
302,0,3,6,8
303,1,1,4,4
304,1,4,8,5
305,0,2,5,6
306,0,4,4,10
307,0,6,6,6
308,1,1,7,11
309,1,1,3,7
310,1,3,2,11
311,1,3,4,11
312,0,1,4,9
313,0,5,6,8
314,0,2,4,9
315,0,0,4,11
316,2,2,4,15
317,3,5,2,9
318,1,3,5,6
319,2,2,7,10
320,0,2,2,10
321,1,4,4,10
322,2,2,7,6
323,1,3,5,10
324,0,1,3,6
325,2,4,5,12
326,1,3,9,11
327,1,3,6,12
328,1,4,2,9
329,3,3,7,14
330,4,2,5,17
331,2,2,4,9
332,4,3,3,11
333,2,2,5,5
334,0,3,7,10
335,1,1,8,13
336,0,3,4,11
337,1,0,4,11
338,1,2,3,7
339,2,1,5,16
340,1,2,6,9
341,0,4,9,16
342,3,5,4,2
343,0,2,4,15
344,0,1,6,9
345,0,1,4,6
346,1,3,3,11
347,1,1,4,13
348,2,3,1,7
349,0,1,11,12
350,0,1,2,16
351,0,1,7,16
352,1,2,1,9
353,0,3,6,10
354,2,6,5,14
355,0,2,7,12
356,0,6,6,8
357,1,4,4,9
358,0,2,6,12
359,0,2,6,12
360,0,2,3,13
361,1,1,7,7
362,1,0,10,9
363,2,3,5,12
364,1,4,3,14
365,1,2,4,9
366,1,3,6,12
367,1,2,4,10
368,1,2,8,11
369,0,2,7,12
370,4,2,6,7
371,1,0,7,11
372,2,3,3,15
373,1,2,4,18
374,1,4,4,10
375,0,4,3,13
376,0,1,4,7
377,0,3,5,7
378,0,2,8,12
379,0,6,7,9
380,0,3,1,9
381,0,4,10,16
382,2,1,7,5
383,0,2,7,12
384,0,2,3,16
385,0,1,3,10
386,1,5,2,13
387,1,5,9,4
388,0,1,5,12
389,1,4,1,13
390,1,3,5,15
391,0,4,9,12
392,2,2,3,9
393,0,2,6,9
394,2,2,3,8
395,1,1,3,12
396,2,4,5,11
397,0,5,5,10
398,0,2,5,11
399,1,2,3,18
400,0,2,6,12
401,1,2,8,9
402,0,4,9,14
403,2,3,4,13
404,1,2,6,14
405,0,6,8,12
406,1,8,4,8
407,1,2,6,11
408,0,2,8,4
409,2,0,1,1
410,1,2,4,14
411,0,1,2,18
412,2,3,10,11
413,2,6,5,10
414,0,2,7,10
415,0,2,10,12
416,1,7,5,9
417,1,2,4,7
418,2,3,7,9
419,0,3,3,14
420,2,1,2,6
421,0,3,4,8
422,0,6,0,7
423,0,2,3,12
424,1,1,5,13
425,0,1,2,10
426,0,5,5,8
427,0,3,6,12
428,1,5,4,17
429,2,1,5,12
430,0,6,5,11
431,0,2,3,8
432,1,3,5,15
433,0,4,5,5
434,1,2,7,11
435,3,5,6,11
436,2,2,6,9
437,2,4,7,6
438,2,5,7,17
439,3,4,3,8
440,1,4,6,9
441,0,1,7,15
442,0,5,4,11
443,2,2,6,18
444,3,0,8,9
445,2,1,5,6
446,1,2,7,11
447,0,0,3,10
448,1,4,5,12
449,1,1,1,9
450,1,3,2,11
451,1,4,4,7
452,1,2,2,13
453,1,1,4,10
454,1,2,10,17
455,1,1,5,7
456,0,4,9,15
457,0,3,5,10
458,0,5,9,10
459,0,2,2,9
460,2,2,0,9
461,1,2,8,8
462,0,6,4,8
463,2,1,5,8
464,1,2,3,12
465,1,6,8,12
466,1,0,5,12
467,0,0,6,18
468,1,2,4,6
469,0,4,3,5
470,1,2,6,11
471,0,0,4,11
472,0,1,9,7
473,2,2,3,10
474,1,6,7,9
475,2,2,5,8
476,0,4,7,10
477,2,2,5,8
478,1,3,6,11
479,0,4,5,11
480,1,2,3,11
481,1,3,4,9
482,1,4,5,9
483,0,1,4,13
484,1,2,4,5
485,0,2,6,11
486,1,7,7,8
487,1,2,7,11
488,0,5,4,11
489,1,2,6,6
490,0,6,5,6
491,3,2,4,13
492,3,0,1,15
493,1,2,3,17
494,0,4,2,14
495,0,5,2,15
496,0,6,6,13
497,0,2,2,10
498,1,4,4,14
499,1,4,5,12
